"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"107R",2001,"PYRAMID ROCK",-0.23400015187791,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"107Y",2002,"SOUTH SEAL ROCK",0.62744979960812,"M",12,12,12,3,12,12,12,7,12,9,12,12,12,12,12,12,12,12,12
"108R",2001,"PYRAMID ROCK",-1.05744495844544,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"108Y",2002,"SOUTH SEAL ROCK",0.91882257731663,"M",12,12,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"109R",2001,"PYRAMID ROCK",-0.892755997131933,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"109Y",2002,"SOUTH SEAL ROCK",-0.22133177023841,"F",12,1,12,3,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"10R",2001,"PYRAMID ROCK",-1.14612362992194,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"10Y",2002,"SOUTH SEAL ROCK",0.766801997642625,"M",12,12,12,3,4,12,12,7,8,9,10,11,12,12,12,12,12,12,12
"110R",2001,"PYRAMID ROCK",-0.664725127620925,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"110Y",2002,"SOUTH SEAL ROCK",1.04550639371163,"M",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"111R",2001,"PYRAMID ROCK",-0.918092760410934,"F",1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"111Y",2002,"SOUTH SEAL ROCK",-0.0946479538434053,"F",12,12,2,3,4,5,6,12,8,12,12,12,12,12,12,12,12,12,12
"112R",2001,"PYRAMID ROCK",-0.52537292958642,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"112Y",2002,"SOUTH SEAL ROCK",0.589444654689619,"M",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"113R",2001,"PYRAMID ROCK",-0.474699403028419,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"113Y",2002,"SOUTH SEAL ROCK",-0.449362639749417,"F",12,12,2,12,4,12,6,7,8,9,10,11,11,12,12,12,12,12,12
"114R",2001,"PYRAMID ROCK",0.0193674809120989,"M",12,12,12,4,5,6,7,12,12,12,12,12,12,12,12,12,12,12,12
"114Y",2002,"SOUTH SEAL ROCK",0.34874540353911,"F",12,12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"115R",2001,"PYRAMID ROCK",0.234729968783606,"M",12,2,3,4,5,6,7,8,9,10,11,11,11,12,12,12,12,12,12
"115Y",2002,"SOUTH SEAL ROCK",0.234729968783606,"F",12,1,2,3,4,5,6,7,8,12,12,12,12,12,12,12,12,12,12
