"AnimalID","SiteName","Beach","Region","Time","Sex","Age","Behavior","Platform","date","datetime","pup_evidence"
"461R","CASCADE HEAD",NA,"OREGON",0,NA,NA,NA,NA,"11/23/2005",2005-11-23 00:00:00,NA
"461R","CASCADE HEAD",NA,"OREGON",1200,NA,NA,NA,NA,"12/06/2005",2005-12-06 12:00:00,NA
"461R","CASCADE HEAD",NA,"OREGON",1200,"UNK","P",NA,NA,"12/17/2005",2005-12-17 12:00:00,NA
"461R","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"07/06/2006",2006-07-06 12:00:00,NA
"461R","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"07/17/2006",2006-07-17 12:00:00,NA
"461R","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"08/02/2006",2006-08-02 12:00:00,NA
"461R","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"08/21/2006",2006-08-21 12:00:00,NA
"461R","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"09/03/2006",2006-09-03 12:00:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1941,"UNK","P",NA,NA,"07/23/2005",2005-07-23 19:41:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",2003,"UNK","P",NA,NA,"07/27/2005",2005-07-27 20:03:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1241,"UNK","P",NA,NA,"07/28/2005",2005-07-28 12:41:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1430,"UNK","P",NA,NA,"07/29/2005",2005-07-29 14:30:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1528,"UNK","P",NA,NA,"07/30/2005",2005-07-30 15:28:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1615,"UNK","P",NA,NA,"08/01/2005",2005-08-01 16:15:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1112,"UNK","P",NA,NA,"08/03/2005",2005-08-03 11:12:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1244,"UNK","P",NA,NA,"08/05/2005",2005-08-05 12:44:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1236,"UNK","P",NA,NA,"08/06/2005",2005-08-06 12:36:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1636,"UNK","P",NA,NA,"08/07/2005",2005-08-07 16:36:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1056,"UNK","P",NA,NA,"08/08/2005",2005-08-08 10:56:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1059,"UNK","P",NA,NA,"08/09/2005",2005-08-09 10:59:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1405,"UNK","P",NA,NA,"08/10/2005",2005-08-10 14:05:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1443,"UNK","P",NA,NA,"08/11/2005",2005-08-11 14:43:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1506,"UNK","P",NA,NA,"08/12/2005",2005-08-12 15:06:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1309,"UNK","P",NA,NA,"08/13/2005",2005-08-13 13:09:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1647,"UNK","P",NA,NA,"08/14/2005",2005-08-14 16:47:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1153,"UNK","P",NA,NA,"08/15/2005",2005-08-15 11:53:00,NA
